;NSst:G;NSlf:G;EWst:G;EWlf:G
0;4.865000000000003;-0.45100000000000007;0.179;-0.9990000000000002
1;-0.031999999999999994;-0.46099999999999997;4.212000000000002;-0.9510000000000001
0;-0.49800000000000005;-0.266;-3.329;-1.0090000000000001
1;-0.375;-0.308;-3.4819999999999993;-0.963
0;-0.20800000000000002;-0.7560000000000001;-2.6610000000000005;-1.0150000000000001
1;-0.235;-0.8310000000000001;-2.729;-0.6990000000000001
0;-0.252;-0.679;-2.0119999999999996;-0.734
1;-0.136;-0.5589999999999999;-1.959;-0.57
0;0.0;-0.243;-0.8420000000000001;0.0
1;0.0;-0.399;-0.692;0.0
0;0.0;-0.367;-1.4609999999999999;0.0
1;0.0;0.0;-0.5840000000000001;0.0
0;0.0;0.0;-0.504;0.0
1;0.0;-0.521;-0.7250000000000001;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;24.997999999999962;-21.28300000000002;29.088000000000008;-25.024999999999977
1;1.8649999999999998;-21.223999999999993;1.8120000000000007;-24.59799999999997
0;-2.361;-38.716000000000044;-20.66599999999998;-49.60200000000001
1;-2.3230000000000004;-39.68699999999999;-20.636999999999954;-50.38400000000006
0;-2.968;-32.85400000000001;-18.194999999999997;-43.989000000000004
1;-3.0680000000000005;-35.37299999999999;-17.860999999999986;-42.013000000000005
0;-1.575;-21.642000000000007;-16.512999999999998;-27.372999999999994
1;-1.563;-23.89200000000001;-16.093;-27.45400000000001
0;-1.217;-18.738000000000007;-9.23;-18.963
1;-1.631;-17.012999999999998;-10.693;-17.922
0;-0.821;-7.872;-6.875000000000002;-11.441999999999998
1;-1.003;-9.837;-7.606999999999999;-10.690999999999999
0;-1.113;-8.091000000000001;-5.138000000000002;-9.302
1;-0.799;-6.146999999999999;-5.632000000000001;-8.743000000000002
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;8.009999999999998;0.0;8.465;-0.38099999999999995
1;0.042;0.164;0.385;-0.29300000000000004
0;-0.277;0.0;-0.7870000000000001;-0.257
1;-0.43499999999999994;0.0;-0.7949999999999999;-0.173
0;0.0;0.0;-0.649;-0.29600000000000004
1;-0.052;0.0;-0.563;-0.382
0;0.0;0.0;-0.622;0.0
1;0.0;0.0;-0.347;0.0
0;0.0;0.0;-0.327;0.0
1;0.0;0.0;-0.36300000000000004;0.0
0;0.0;0.0;-0.39;0.0
1;0.0;0.0;-0.104;-0.739
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;85.6509999999998;-3.8640000000000008;3.7100000000000004;-5.892999999999995
1;4.8290000000000015;-3.8929999999999993;59.022999999999996;-5.840999999999996
0;-1.0379999999999998;-4.733999999999998;-11.100000000000003;-10.896
1;-1.002;-4.678;-11.062000000000005;-11.080000000000007
0;-0.636;-4.013000000000001;-7.918999999999998;-5.944
1;-0.7150000000000001;-4.335000000000001;-8.081;-5.969000000000001
0;-0.417;-2.3360000000000003;-5.536999999999999;-4.662
1;-0.224;-1.9700000000000002;-5.579999999999998;-4.4830000000000005
0;-0.228;-3.7839999999999994;-3.315;-3.28
1;-0.081;-2.6689999999999996;-3.428;-3.427
0;-0.487;-2.261;-1.7669999999999997;-1.732
1;-0.5389999999999999;-2.3160000000000003;-1.6829999999999998;-1.6799999999999997
0;-0.231;-0.998;-1.1019999999999999;-0.885
1;0.0;-0.728;-1.809;-0.804
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
1;0.0;0.0;0.0;0.0
0;0.0;0.0;0.0;0.0
