epi;step;s;o;a;r
0;972.0;NSst;bin+01+0;pass;21.3
0;986.0;EWst;bin+01+0;prolong;38.8
0;996.0;EWst;bin+00+1;pass;-41.7
0;1010.0;NSlf;bin+01+0;prolong;-53.0
0;1020.0;NSlf;bin+01+1;prolong;-69.0
0;1030.0;NSlf;bin+01+2;pass;-85.0
0;1044.0;EWlf;bin+01+0;pass;-98.0
0;1058.0;NSst;bin+01+0;prolong;73.1
0;1068.0;NSst;bin+01+1;pass;-83.5
0;1082.0;EWst;bin+01+0;prolong;161.3
0;1092.0;EWst;bin+01+1;pass;39.9
0;1106.0;NSlf;bin+01+0;prolong;-21.3
0;1116.0;NSlf;bin+01+1;pass;-62.0
0;1130.0;EWlf;bin+01+0;pass;-88.2
0;1144.0;NSst;bin+01+0;prolong;131.3
0;1154.0;NSst;bin+01+1;prolong;-3.8
0;1164.0;NSst;bin+01+2;prolong;-48.2
0;1174.0;NSst;bin+01+3;pass;-45.0
0;1188.0;EWst;bin+01+0;pass;70.2
0;1202.0;NSlf;bin+01+0;prolong;-18.0
0;1212.0;NSlf;bin+01+1;pass;-21.0
0;1226.0;EWlf;bin+01+0;pass;19.9
0;1240.0;NSst;bin+01+0;pass;-13.0
0;1254.0;EWst;bin+01+0;pass;11.5
0;1268.0;NSlf;bin+01+0;prolong;-41.5
0;1278.0;NSlf;bin+01+1;pass;-29.3
0;1292.0;EWlf;bin+01+0;pass;8.5
0;1306.0;NSst;bin+01+0;prolong;-22.4
0;1316.0;NSst;bin+01+1;pass;-45.4
0;1330.0;EWst;bin+01+0;pass;110.3
0;1344.0;NSlf;bin+01+0;prolong;-18.9
0;1354.0;NSlf;bin+01+1;prolong;-47.9
0;1364.0;NSlf;bin+01+2;pass;-77.0
0;1378.0;EWlf;bin+01+0;pass;-45.4
0;1392.0;NSst;bin+01+0;prolong;65.0
0;1402.0;NSst;bin+01+1;prolong;-30.0
0;1412.0;NSst;bin+01+2;prolong;-52.1
0;1422.0;NSst;bin+00+3;prolong;-69.9
0;1436.0;EWst;bin+00+0;pass;33.1
0;1450.0;NSlf;bin+01+0;prolong;-29.0
0;1460.0;NSlf;bin+01+1;prolong;-56.7
0;1470.0;NSlf;bin+01+2;prolong;-78.3
0;1480.0;NSlf;bin+01+3;prolong;-102.0
0;1494.0;EWlf;bin+01+0;pass;16.2
0;1508.0;NSst;bin+01+0;prolong;-29.8
0;1518.0;NSst;bin+01+1;pass;-97.0
0;1532.0;EWst;bin+01+0;pass;168.9
0;1546.0;NSlf;bin+01+0;prolong;30.9
0;1556.0;NSlf;bin+01+1;pass;-36.0
0;1570.0;EWlf;bin+01+0;pass;-13.4
0;1584.0;NSst;bin+01+0;prolong;19.8
0;1594.0;NSst;bin+01+1;pass;-45.0
0;1608.0;EWst;bin+01+0;prolong;87.7
0;1618.0;EWst;bin+01+1;prolong;-10.8
0;1628.0;EWst;bin+01+2;prolong;13.7
0;1638.0;EWst;bin+01+3;pass;15.4
0;1652.0;NSlf;bin+01+0;pass;-12.0
0;1666.0;EWlf;bin+01+0;pass;-16.4
0;1680.0;NSst;bin+01+0;pass;-7.3
0;1694.0;EWst;bin+01+0;prolong;51.7
0;1704.0;EWst;bin+01+1;prolong;-2.1
0;1714.0;EWst;bin+01+2;prolong;-26.0
0;1724.0;EWst;bin+01+3;prolong;-53.8
0;1738.0;NSlf;bin+01+0;prolong;-54.9
0;1748.0;NSlf;bin+01+1;pass;-59.4
0;1762.0;EWlf;bin+01+0;pass;-17.7
0;1776.0;NSst;bin+01+0;prolong;111.1
0;1786.0;NSst;bin+01+1;prolong;-38.5
0;1796.0;NSst;bin+01+2;prolong;-63.0
0;1806.0;NSst;bin+01+3;prolong;-78.2
0;1820.0;EWst;bin+01+0;pass;234.2
0;1834.0;NSlf;bin+01+0;pass;-10.1
0;1848.0;EWlf;bin+01+0;prolong;-66.0
0;1858.0;EWlf;bin+01+1;prolong;-106.0
0;1868.0;EWlf;bin+01+2;prolong;-139.0
0;1878.0;EWlf;bin+01+3;prolong;-144.0
0;1892.0;NSst;bin+01+0;pass;88.6
0;1906.0;EWst;bin+01+0;prolong;169.2
0;1916.0;EWst;bin+01+1;prolong;25.7
0;1926.0;EWst;bin+01+2;prolong;-78.0
0;1936.0;EWst;bin+01+3;pass;-72.8
0;1950.0;NSlf;bin+01+0;prolong;-16.9
0;1960.0;NSlf;bin+01+1;prolong;-77.0
0;1970.0;NSlf;bin+01+2;prolong;-99.0
0;1980.0;NSlf;bin+01+3;prolong;-125.0
0;1994.0;EWlf;bin+00+0;pass;-125.3
0;2008.0;NSst;bin+01+0;pass;230.5
0;2022.0;EWst;bin+01+0;prolong;-68.5
0;2032.0;EWst;bin+01+1;pass;-101.9
0;2046.0;NSlf;bin+01+0;prolong;-74.4
0;2056.0;NSlf;bin+01+1;pass;-99.0
0;2070.0;EWlf;bin+01+0;prolong;5.7
0;2080.0;EWlf;bin+01+1;prolong;-81.0
0;2090.0;EWlf;bin+01+2;pass;-105.0
0;2104.0;NSst;bin+01+0;pass;218.5
0;2118.0;EWst;bin+01+0;prolong;82.5
0;2128.0;EWst;bin+01+1;pass;-45.0
0;2142.0;NSlf;bin+01+0;prolong;-60.0
0;2152.0;NSlf;bin+01+1;prolong;-20.4
0;2162.0;NSlf;bin+01+2;prolong;-88.0
0;2172.0;NSlf;bin+01+3;prolong;-133.0
0;2186.0;EWlf;bin+01+0;prolong;-104.6
0;2196.0;EWlf;bin+01+1;prolong;-179.7
0;2206.0;EWlf;bin+01+2;pass;-198.0
0;2220.0;NSst;bin+01+0;pass;40.1
0;2234.0;EWst;bin+01+0;pass;280.9
0;2248.0;NSlf;bin+01+0;prolong;-76.2
0;2258.0;NSlf;bin+01+1;pass;-113.2
0;2272.0;EWlf;bin+01+0;pass;-138.0
0;2286.0;NSst;bin+01+0;pass;-20.5
0;2300.0;EWst;bin+01+0;pass;249.8
0;2314.0;NSlf;bin+01+0;prolong;-23.5
0;2324.0;NSlf;bin+01+1;prolong;-115.9
0;2334.0;NSlf;bin+01+2;prolong;-106.7
0;2344.0;NSlf;bin+01+3;prolong;-135.0
0;2358.0;EWlf;bin+01+0;pass;-130.0
0;2372.0;NSst;bin+00+0;pass;92.1
0;2386.0;EWst;bin+01+0;prolong;149.4
0;2396.0;EWst;bin+01+1;pass;11.1
0;2410.0;NSlf;bin+01+0;pass;-49.4
0;2424.0;EWlf;bin+01+0;pass;-104.0
0;2438.0;NSst;bin+01+0;prolong;197.7
0;2448.0;NSst;bin+01+1;prolong;-16.0
0;2458.0;NSst;bin+00+2;pass;-107.1
0;2472.0;EWst;bin+01+0;prolong;94.7
0;2482.0;EWst;bin+00+1;pass;-102.6
0;2496.0;NSlf;bin+01+0;pass;15.3
0;2510.0;EWlf;bin+01+0;prolong;-17.0
0;2520.0;EWlf;bin+01+1;pass;-91.0
0;2534.0;NSst;bin+01+0;pass;73.3
0;2548.0;EWst;bin+00+0;prolong;152.1
0;2558.0;EWst;bin+01+1;prolong;-25.1
0;2568.0;EWst;bin+01+2;prolong;-72.0
0;2578.0;EWst;bin+01+3;pass;-72.0
0;2592.0;NSlf;bin+00+0;pass;-4.5
0;2606.0;EWlf;bin+01+0;pass;-7.4
0;2620.0;NSst;bin+01+0;prolong;93.1
0;2630.0;NSst;bin+01+1;prolong;-0.5
0;2640.0;NSst;bin+01+2;prolong;-61.8
0;2650.0;NSst;bin+01+3;pass;-49.4
0;2664.0;EWst;bin+01+0;pass;132.8
0;2678.0;NSlf;bin+01+0;pass;-12.4
0;2692.0;EWlf;bin+01+0;pass;-62.8
0;2706.0;NSst;bin+01+0;prolong;-51.1
0;2716.0;NSst;bin+01+1;pass;-97.1
0;2730.0;EWst;bin+01+0;pass;165.2
0;2744.0;NSlf;bin+01+0;prolong;-70.9
0;2754.0;NSlf;bin+01+1;pass;-92.3
0;2768.0;EWlf;bin+01+0;prolong;-35.6
0;2778.0;EWlf;bin+01+1;prolong;-117.9
0;2788.0;EWlf;bin+01+2;pass;-161.9
0;2802.0;NSst;bin+01+0;prolong;57.5
0;2812.0;NSst;bin+01+1;prolong;-130.5
0;2822.0;NSst;bin+00+2;prolong;-196.4
0;2832.0;NSst;bin+01+3;prolong;-129.2
0;2846.0;EWst;bin+01+0;pass;211.5
0;2860.0;NSlf;bin+01+0;prolong;-45.0
0;2870.0;NSlf;bin+01+1;pass;-176.0
0;2884.0;EWlf;bin+01+0;pass;-85.9
0;2898.0;NSst;bin+01+0;prolong;-67.5
0;2908.0;NSst;bin+01+1;prolong;-155.3
0;2918.0;NSst;bin+01+2;prolong;-195.8
0;2928.0;NSst;bin+01+3;pass;-181.3
0;2942.0;EWst;bin+01+0;pass;253.4
0;2956.0;NSlf;bin+01+0;prolong;-91.1
0;2966.0;NSlf;bin+01+1;prolong;-182.0
0;2976.0;NSlf;bin+01+2;pass;-219.0
0;2990.0;EWlf;bin+01+0;pass;-149.2
0;3004.0;NSst;bin+01+0;pass;7.3
0;3018.0;EWst;bin+01+0;pass;256.1
0;3032.0;NSlf;bin+01+0;pass;-136.1
0;3046.0;EWlf;bin+01+0;pass;-95.1
0;3060.0;NSst;bin+01+0;prolong;46.1
0;3070.0;NSst;bin+01+1;pass;-49.8
0;3084.0;EWst;bin+01+0;pass;257.6
0;3098.0;NSlf;bin+01+0;pass;-73.0
0;3112.0;EWlf;bin+01+0;pass;-49.4
0;3126.0;NSst;bin+01+0;pass;-48.8
0;3140.0;EWst;bin+01+0;prolong;233.7
0;3150.0;EWst;bin+01+1;prolong;70.6
0;3160.0;EWst;bin+01+2;prolong;-20.0
0;3170.0;EWst;bin+01+3;pass;-54.1
0;3184.0;NSlf;bin+01+0;pass;-0.2
0;3198.0;EWlf;bin+01+0;pass;-56.0
0;3212.0;NSst;bin+00+0;pass;92.0
0;3226.0;EWst;bin+01+0;prolong;14.0
0;3236.0;EWst;bin+01+1;pass;-31.8
0;3250.0;NSlf;bin+01+0;prolong;-21.1
0;3260.0;NSlf;bin+01+1;pass;-62.0
0;3274.0;EWlf;bin+01+0;prolong;-94.0
0;3284.0;EWlf;bin+01+1;prolong;-107.0
0;3294.0;EWlf;bin+01+2;prolong;-117.0
0;3304.0;EWlf;bin+01+3;prolong;-135.0
0;3318.0;NSst;bin+01+0;pass;65.3
0;3332.0;EWst;bin+01+0;prolong;154.9
